"Date","Price","Open","High","Low","Vol.","Change %"
"04-06-2024","392.79","403.00","403.29","381.10","46.02M","-3.52%"
"05-06-2024","407.07","399.22","412.46","395.48","27.15M","3.64%"
"06-06-2024","411.89","412.46","414.07","407.83","31.12M","1.19%"
"07-06-2024","415.44","408.11","417.81","407.83","28.45M","0.86%"
"10-06-2024","413.31","416.25","417.19","412.32","11.43M","-0.51%"
"11-06-2024","409.62","413.41","414.16","408.91","12.67M","-0.89%"
"12-06-2024","408.96","407.31","410.95","406.98","10.35M","-0.16%"
"13-06-2024","407.07","413.31","413.31","406.55","9.28M","-0.46%"
"14-06-2024","407.87","407.73","408.58","405.89","9.22M","0.20%"
"18-06-2024","405.60","409.62","410.76","405.08","14.10M","-0.56%"
"19-06-2024","400.78","406.79","407.49","400.21","10.91M","-1.19%"
"20-06-2024","400.45","401.16","403.48","398.74","14.59M","-0.08%"
"21-06-2024","396.95","402.06","402.34","395.95","25.21M","-0.87%"
"24-06-2024","400.45","397.33","401.06","397.33","9.36M","0.88%"
"25-06-2024","400.45","400.16","401.11","397.09","10.26M","0.00%"
"26-06-2024","401.06","400.16","403.38","399.27","11.08M","0.15%"
"27-06-2024","402.62","401.06","404.18","398.37","37.01M","0.39%"
"28-06-2024","401.96","402.53","404.89","400.64","17.87M","-0.16%"
"01-07-2024","405.89","403.29","407.02","401.72","12.89M","0.98%"
"02-07-2024","402.53","406.79","407.40","399.74","10.76M","-0.83%"
"03-07-2024","405.18","403.10","406.45","402.53","7.16M","0.66%"
"04-07-2024","405.89","406.79","408.20","403.99","9.13M","0.18%"
"05-07-2024","410.24","405.84","410.57","404.52","12.93M","1.07%"
"08-07-2024","419.65","411.66","420.55","410.24","20.52M","2.29%"
"09-07-2024","428.17","423.43","430.44","420.03","26.47M","2.03%"
"10-07-2024","427.08","429.21","430.77","422.39","11.62M","-0.25%"
"11-07-2024","433.89","425.71","434.69","424.48","18.83M","1.59%"
"12-07-2024","434.27","433.89","438.24","431.24","18.96M","0.09%"
"15-07-2024","438.38","434.27","441.27","432.52","16.25M","0.95%"
"16-07-2024","440.42","438.43","441.55","436.49","13.00M","0.46%"
"18-07-2024","444.86","438.00","445.48","437.67","21.09M","1.01%"
"19-07-2024","448.93","445.57","453.52","444.06","24.98M","0.91%"
"22-07-2024","441.36","448.98","453.57","440.70","18.07M","-1.69%"
"23-07-2024","465.63","441.36","470.55","441.22","54.04M","5.50%"
"24-07-2024","467.38","469.22","483.08","464.16","42.07M","0.38%"
"25-07-2024","463.50","463.55","469.22","458.48","17.88M","-0.83%"
"26-07-2024","475.09","467.38","479.06","461.09","20.74M","2.50%"
"29-07-2024","469.27","478.21","478.87","467.38","12.50M","-1.22%"
"30-07-2024","463.45","469.51","470.92","462.27","13.38M","-1.24%"
"31-07-2024","468.61","465.86","471.07","464.02","11.54M","1.11%"
"01-08-2024","467.05","469.17","469.93","464.45","11.67M","-0.33%"
"02-08-2024","462.70","458.63","472.49","458.63","21.32M","-0.93%"
"05-08-2024","459.76","454.13","465.34","453.66","24.09M","-0.63%"
"06-08-2024","460.05","460.00","465.15","457.92","13.72M","0.06%"
"07-08-2024","466.05","463.55","468.84","461.75","10.90M","1.31%"
"08-08-2024","468.04","467.33","471.11","465.91","20.56M","0.43%"
"09-08-2024","469.13","471.11","471.11","466.48","9.20M","0.23%"
"12-08-2024","467.90","465.44","473.01","465.44","9.08M","-0.26%"
"13-08-2024","463.55","469.17","470.97","461.89","7.76M","-0.93%"
"14-08-2024","465.63","465.39","472.06","463.45","9.25M","0.45%"
"16-08-2024","475.51","467.80","476.98","466.05","13.14M","2.12%"
"19-08-2024","474.38","477.50","481.80","472.63","10.20M","-0.24%"
"20-08-2024","471.87","473.95","476.22","470.83","6.63M","-0.53%"
"21-08-2024","478.11","473.01","481.52","472.11","8.47M","1.32%"
"22-08-2024","477.31","480.43","481.05","474.38","8.36M","-0.17%"
"23-08-2024","478.49","477.78","479.58","472.96","7.89M","0.25%"
"26-08-2024","478.40","478.68","480.58","474.90","7.83M","-0.02%"
"27-08-2024","473.57","480.15","480.20","473.01","7.95M","-1.01%"
"28-08-2024","470.45","473.39","475.18","469.70","7.78M","-0.66%"
"29-08-2024","477.83","471.11","480.29","470.50","18.67M","1.57%"
"30-08-2024","474.80","474.85","481.66","473.20","14.95M","-0.63%"
"02-09-2024","482.51","476.79","485.21","476.13","15.89M","1.62%"
"03-09-2024","481.90","482.51","488.10","480.48","12.02M","-0.13%"
"04-09-2024","479.01","473.01","482.51","472.96","8.41M","-0.60%"
"05-09-2024","483.60","480.91","484.26","479.68","10.90M","0.96%"
