"Date","Price","Open","High","Low","Vol.","Change %"
"16-12-2022","89,112.75","90,521.00","90,728.75","88,600.00","8.99K","-1.94%"
"19-12-2022","89,916.95","89,113.00","90,230.95","88,536.65","5.09K","0.90%"
"20-12-2022","89,005.00","90,199.90","90,199.90","88,700.00","7.21K","-1.01%"
"21-12-2022","88,192.95","89,299.00","89,900.00","87,278.75","7.77K","-0.91%"
"22-12-2022","88,192.75","88,200.05","88,899.75","87,501.00","5.60K","0.00%"
"23-12-2022","86,071.00","88,140.00","88,140.00","85,774.25","7.26K","-2.41%"
"26-12-2022","87,596.60","85,802.45","88,373.95","85,201.05","6.90K","1.77%"
"27-12-2022","88,090.15","88,000.00","88,490.00","87,500.00","5.53K","0.56%"
"28-12-2022","87,923.25","87,760.00","88,590.00","87,500.00","5.19K","-0.19%"
"29-12-2022","87,567.95","87,900.00","87,900.00","86,611.45","6.37K","-0.40%"
"30-12-2022","88,535.45","87,900.00","89,250.00","87,812.25","6.77K","1.10%"
"02-01-2023","88,051.20","88,600.00","88,745.35","87,879.70","4.25K","-0.55%"
"03-01-2023","88,876.15","88,397.90","89,121.00","87,962.70","4.79K","0.94%"
"04-01-2023","88,012.25","88,892.00","89,073.55","87,398.00","7.52K","-0.97%"
"05-01-2023","91,275.80","88,500.00","91,900.00","88,441.95","22.63K","3.71%"
"06-01-2023","93,141.50","91,580.00","93,400.00","90,557.80","28.71K","2.04%"
"09-01-2023","93,447.60","93,600.00","93,998.75","92,902.00","8.19K","0.33%"
"10-01-2023","94,163.95","93,250.00","94,480.00","93,093.90","11.30K","0.77%"
"11-01-2023","91,142.00","94,261.00","94,399.85","90,750.00","12.68K","-3.21%"
"12-01-2023","89,518.25","91,597.75","91,663.50","88,573.00","13.85K","-1.78%"
"13-01-2023","89,712.95","89,700.00","90,650.00","89,156.30","13.69K","0.22%"
"16-01-2023","89,228.35","90,100.00","90,679.60","89,000.00","9.20K","-0.54%"
"17-01-2023","89,526.75","89,682.85","89,965.90","89,010.05","6.55K","0.33%"
"18-01-2023","90,196.85","89,360.00","90,399.95","89,279.95","6.52K","0.75%"
"19-01-2023","90,484.00","89,999.00","90,899.00","89,819.00","5.77K","0.32%"
"20-01-2023","89,557.00","90,484.00","91,198.90","89,255.65","7.21K","-1.02%"
"23-01-2023","90,280.35","89,995.00","90,539.75","89,679.95","4.49K","0.81%"
"24-01-2023","90,414.50","90,500.00","90,949.40","90,045.05","4.23K","0.15%"
"25-01-2023","89,571.75","90,300.00","90,436.00","88,429.60","5.74K","-0.93%"
"27-01-2023","88,261.10","89,640.00","89,665.75","86,911.35","9.73K","-1.46%"
"30-01-2023","89,263.90","88,360.00","90,207.00","88,062.75","7.75K","1.14%"
"31-01-2023","90,869.40","89,500.00","91,090.00","89,405.05","11.15K","1.80%"
"01-02-2023","91,961.45","91,000.00","92,950.00","90,722.55","11.99K","1.20%"
"02-02-2023","92,817.35","91,700.00","93,000.00","91,052.65","7.09K","0.93%"
"03-02-2023","92,853.35","93,449.00","93,449.00","91,450.00","8.67K","0.04%"
"06-02-2023","92,677.85","92,785.00","93,241.45","92,211.55","6.47K","-0.19%"
"07-02-2023","91,739.85","92,600.00","92,700.00","91,550.00","5.79K","-1.01%"
"08-02-2023","92,275.65","91,630.00","92,484.85","90,739.85","5.79K","0.58%"
"09-02-2023","88,813.05","92,275.00","93,100.00","87,351.00","36.04K","-3.75%"
"10-02-2023","89,070.90","89,000.00","89,976.90","88,125.65","10.50K","0.29%"
"13-02-2023","88,803.90","89,408.00","89,408.00","88,200.00","7.36K","-0.30%"
"14-02-2023","88,050.00","89,260.00","89,260.00","87,500.00","6.33K","-0.85%"
"15-02-2023","88,855.45","88,390.00","89,074.20","88,050.00","6.12K","0.91%"
"16-02-2023","89,215.80","88,800.00","89,971.70","88,722.20","8.30K","0.41%"
"17-02-2023","88,739.70","89,120.00","89,668.00","88,550.00","4.35K","-0.53%"
"20-02-2023","89,181.10","89,000.00","90,000.00","88,717.10","5.81K","0.50%"
"21-02-2023","89,957.20","89,648.00","90,445.00","89,121.25","6.80K","0.87%"
"22-02-2023","87,658.30","89,958.00","90,000.00","87,500.00","10.97K","-2.56%"
"23-02-2023","86,730.85","87,999.00","88,249.00","86,001.00","10.32K","-1.06%"
"24-02-2023","86,800.70","87,350.00","87,462.00","86,650.00","4.73K","0.08%"
"27-02-2023","85,143.10","86,786.00","86,786.00","84,802.05","7.19K","-1.91%"
"28-02-2023","85,256.60","85,565.00","85,898.20","84,640.00","9.47K","0.13%"
"01-03-2023","86,068.60","85,654.25","86,444.95","84,827.50","6.83K","0.95%"
"02-03-2023","86,802.70","86,480.00","87,150.00","86,000.00","4.71K","0.85%"
"03-03-2023","86,363.15","87,001.00","87,399.40","86,200.90","5.23K","-0.51%"
"06-03-2023","86,715.35","86,400.00","87,250.00","86,400.00","4.61K","0.41%"
"08-03-2023","86,752.80","86,557.00","87,199.00","86,471.15","4.99K","0.04%"
"09-03-2023","85,596.90","86,800.00","87,169.05","85,360.00","6.40K","-1.33%"
"10-03-2023","85,111.20","85,499.90","85,549.95","84,351.00","4.95K","-0.57%"
"13-03-2023","83,076.30","85,330.00","85,591.55","82,812.45","7.26K","-2.39%"
"14-03-2023","82,492.30","83,389.95","83,661.90","82,280.40","6.82K","-0.70%"
"15-03-2023","82,107.10","83,192.00","83,199.00","81,974.35","4.36K","-0.47%"
"16-03-2023","83,140.70","82,101.00","83,501.00","81,380.05","7.11K","1.26%"
"17-03-2023","82,901.80","83,556.00","83,556.00","82,050.00","10.90K","-0.29%"
"20-03-2023","83,559.95","83,556.00","83,688.95","82,235.35","5.26K","0.79%"
"21-03-2023","83,746.00","83,600.00","85,710.00","83,232.20","6.86K","0.22%"
"22-03-2023","84,399.85","83,900.00","84,500.00","83,675.05","2.96K","0.78%"
"23-03-2023","84,164.65","84,349.00","84,778.75","84,000.00","2.97K","-0.28%"
"24-03-2023","83,878.50","84,448.95","84,778.95","83,700.00","3.98K","-0.34%"
"27-03-2023","83,709.75","83,878.00","84,549.90","83,416.95","3.64K","-0.20%"
"28-03-2023","82,365.35","83,899.00","84,253.90","82,223.55","4.24K","-1.61%"
"29-03-2023","82,012.00","81,900.00","82,701.50","81,786.50","5.13K","-0.43%"
"31-03-2023","84,047.20","82,422.00","84,444.00","82,088.25","5.86K","2.48%"
"03-04-2023","84,400.85","84,047.20","84,550.00","83,752.00","2.40K","0.42%"
"05-04-2023","83,949.90","84,284.20","84,746.50","83,830.00","2.94K","-0.53%"
"06-04-2023","84,005.55","84,000.00","84,500.00","83,325.75","3.73K","0.07%"
"10-04-2023","84,398.45","83,750.00","84,780.00","83,750.00","3.58K","0.47%"
"11-04-2023","84,617.00","84,601.05","85,298.30","84,294.30","3.03K","0.26%"
"12-04-2023","85,456.25","84,800.90","85,794.20","84,750.00","4.93K","0.99%"
"13-04-2023","85,516.95","85,699.00","85,700.05","85,407.35","2.50K","0.07%"
"17-04-2023","85,376.35","85,499.00","85,700.00","85,001.00","2.57K","-0.16%"
"18-04-2023","86,821.35","85,500.00","87,495.00","85,487.45","6.49K","1.69%"
"19-04-2023","85,837.25","87,000.00","87,343.70","85,697.00","2.90K","-1.13%"
"20-04-2023","86,502.65","86,279.00","86,869.20","86,012.15","3.00K","0.78%"
"21-04-2023","86,517.40","86,300.00","86,950.00","86,090.15","3.42K","0.02%"
"24-04-2023","86,896.15","86,945.00","87,200.00","86,300.00","3.16K","0.44%"
"25-04-2023","86,561.45","87,100.00","87,399.95","86,086.00","3.99K","-0.39%"
"26-04-2023","87,231.20","86,550.00","87,332.90","86,400.00","4.41K","0.77%"
"27-04-2023","87,455.90","87,497.00","87,600.00","86,810.00","3.37K","0.26%"
"28-04-2023","89,006.80","87,437.35","89,300.00","87,376.00","7.62K","1.77%"
"02-05-2023","88,596.90","89,007.00","89,498.90","88,002.05","5.22K","-0.46%"
"03-05-2023","93,559.80","88,787.95","94,390.00","88,318.85","47.19K","5.60%"
"04-05-2023","95,110.80","94,000.00","95,760.00","93,026.25","28.70K","1.66%"
"05-05-2023","98,614.05","95,110.80","98,974.65","94,500.00","44.97K","3.68%"
"08-05-2023","97,730.65","98,620.00","99,933.50","97,398.25","26.68K","-0.90%"
"09-05-2023","97,499.75","98,149.50","99,200.00","97,201.35","13.52K","-0.24%"
"10-05-2023","97,229.35","98,200.00","98,200.00","96,575.05","9.96K","-0.28%"
"11-05-2023","97,361.00","97,700.00","98,240.00","97,200.00","9.44K","0.14%"
"12-05-2023","96,689.15","97,760.00","97,800.00","96,600.05","6.32K","-0.69%"
"15-05-2023","96,900.90","96,705.00","97,656.35","95,150.00","9.67K","0.22%"
"16-05-2023","96,551.85","96,800.00","97,600.00","96,400.00","9.36K","-0.36%"
"17-05-2023","97,655.10","96,536.00","97,900.00","96,299.80","9.47K","1.14%"
"18-05-2023","97,060.70","97,872.25","98,400.00","96,800.10","8.16K","-0.61%"
"19-05-2023","96,236.65","97,258.05","97,280.95","95,700.00","10.87K","-0.85%"
"22-05-2023","95,911.45","96,356.65","96,553.40","95,674.25","7.09K","-0.34%"
"23-05-2023","95,487.65","96,066.00","96,453.80","95,225.30","9.02K","-0.44%"
"24-05-2023","95,640.30","95,550.00","97,458.40","95,338.55","13.58K","0.16%"
"25-05-2023","96,727.35","95,680.00","97,052.50","95,570.40","8.32K","1.14%"
"26-05-2023","97,881.80","96,735.00","98,171.00","96,601.15","6.69K","1.19%"
