"Date","Price","Open","High","Low","Vol.","Change %"
"10-02-2014","160.22","161.15","161.77","158.25","6.28M","-0.59%"
"11-02-2014","160.44","160.74","161.03","159.07","4.46M","0.14%"
"12-02-2014","160.60","160.89","162.43","160.16","6.44M","0.10%"
"13-02-2014","157.38","160.74","161.24","157.07","3.16M","-2.01%"
"14-02-2014","159.70","157.76","160.21","156.60","4.25M","1.47%"
"17-02-2014","161.84","159.75","162.23","159.52","3.65M","1.34%"
"18-02-2014","164.32","161.36","165.32","161.09","5.02M","1.54%"
"19-02-2014","166.73","163.28","167.27","162.98","4.06M","1.46%"
"20-02-2014","164.91","165.67","166.08","164.44","3.45M","-1.09%"
"21-02-2014","165.32","164.19","166.61","164.15","3.04M","0.25%"
"24-02-2014","166.96","164.75","167.46","163.17","5.02M","0.99%"
"25-02-2014","166.99","167.71","168.21","165.72","4.02M","0.01%"
"26-02-2014","168.55","166.71","169.00","166.35","4.55M","0.94%"
"28-02-2014","166.61","169.70","169.92","165.51","4.90M","-1.15%"
"03-03-2014","165.77","165.52","167.21","165.02","3.68M","-0.51%"
"04-03-2014","167.14","165.72","167.67","165.28","6.44M","0.83%"
"05-03-2014","166.65","167.58","167.96","164.85","4.01M","-0.29%"
"06-03-2014","168.11","167.46","168.63","166.24","4.95M","0.87%"
"07-03-2014","177.03","169.10","177.89","168.26","22.77M","5.31%"
"10-03-2014","182.75","175.80","183.36","174.18","26.12M","3.23%"
"11-03-2014","180.44","182.76","184.13","179.04","13.00M","-1.27%"
"12-03-2014","180.54","179.47","182.39","178.28","7.11M","0.06%"
"13-03-2014","184.72","181.02","186.49","181.02","11.45M","2.32%"
"14-03-2014","182.18","182.89","184.11","180.15","12.21M","-1.37%"
"18-03-2014","182.64","182.99","185.33","181.22","8.10M","0.25%"
"19-03-2014","183.75","184.13","184.95","183.07","6.06M","0.61%"
"20-03-2014","181.69","183.75","183.75","181.15","5.20M","-1.12%"
"21-03-2014","182.60","182.92","183.51","181.94","7.53M","0.50%"
"22-03-2014","182.24","183.14","183.14","181.51","423.53K","-0.20%"
"24-03-2014","186.78","182.76","187.34","182.64","11.71M","2.49%"
"25-03-2014","186.66","186.62","189.24","186.06","8.03M","-0.07%"
"26-03-2014","185.64","187.32","188.19","185.15","9.41M","-0.55%"
"27-03-2014","185.81","186.62","189.29","184.63","24.55M","0.09%"
"28-03-2014","185.36","186.61","187.64","182.90","12.16M","-0.24%"
"31-03-2014","186.32","186.11","187.37","184.90","8.26M","0.52%"
"01-04-2014","183.66","186.99","187.50","182.28","8.05M","-1.43%"
"02-04-2014","182.12","185.36","185.62","179.63","10.40M","-0.84%"
"03-04-2014","181.34","183.14","183.63","180.71","5.56M","-0.42%"
"04-04-2014","180.51","180.54","182.39","179.17","7.42M","-0.46%"
"07-04-2014","180.49","180.40","182.14","179.93","11.73M","-0.01%"
"09-04-2014","184.59","181.16","185.35","179.59","10.52M","2.27%"
"10-04-2014","183.98","185.29","186.28","183.14","7.49M","-0.33%"
"11-04-2014","183.67","182.65","185.33","182.61","5.21M","-0.17%"
"15-04-2014","180.14","182.71","183.83","178.68","8.37M","-1.92%"
"16-04-2014","180.63","179.95","182.09","179.43","3.57M","0.28%"
"17-04-2014","178.83","178.22","179.48","175.99","12.30M","-1.00%"
"21-04-2014","178.27","179.83","180.77","177.41","6.99M","-0.31%"
"22-04-2014","181.03","179.63","181.54","178.51","11.40M","1.55%"
"23-04-2014","182.39","180.37","183.99","179.80","21.03M","0.75%"
"25-04-2014","180.75","182.43","183.63","180.40","6.21M","-0.90%"
"28-04-2014","180.45","179.71","181.46","179.29","4.88M","-0.17%"
"29-04-2014","178.11","180.75","181.02","177.29","6.64M","-1.30%"
"30-04-2014","179.48","178.16","181.62","177.08","8.79M","0.77%"
"02-05-2014","178.43","180.03","181.03","178.05","5.92M","-0.58%"
"05-05-2014","178.33","179.12","179.93","177.66","5.19M","-0.06%"
"06-05-2014","179.20","179.20","180.30","177.69","6.18M","0.49%"
"07-05-2014","178.06","178.78","180.90","177.03","6.60M","-0.64%"
"08-05-2014","178.73","178.45","179.90","178.03","7.52M","0.38%"
"09-05-2014","188.31","179.15","189.11","179.15","16.38M","5.36%"
"12-05-2014","197.11","187.89","197.78","187.74","17.56M","4.67%"
"13-05-2014","196.11","199.06","199.06","194.71","12.67M","-0.50%"
"14-05-2014","192.95","195.33","197.77","192.65","8.50M","-1.61%"
"15-05-2014","196.16","191.35","196.86","190.61","9.47M","1.66%"
"16-05-2014","200.23","199.06","212.50","195.99","32.87M","2.07%"
"19-05-2014","202.02","203.02","207.77","201.05","10.52M","0.89%"
"20-05-2014","203.05","203.04","204.44","200.14","6.36M","0.51%"
"21-05-2014","201.42","202.13","202.67","200.30","3.64M","-0.80%"
"22-05-2014","199.71","202.05","202.79","198.56","7.81M","-0.85%"
"23-05-2014","196.49","198.81","199.81","194.76","9.82M","-1.61%"
"26-05-2014","198.35","198.81","200.07","196.57","17.40M","0.95%"
"27-05-2014","200.28","199.06","201.71","196.16","7.62M","0.97%"
"28-05-2014","204.90","199.04","205.72","198.94","14.36M","2.30%"
"29-05-2014","201.61","204.68","206.71","200.90","13.68M","-1.60%"
"30-05-2014","197.26","202.79","204.73","181.64","32.81M","-2.16%"
"02-06-2014","203.89","197.44","204.62","197.44","8.08M","3.36%"
"03-06-2014","205.12","204.78","205.99","202.54","3.62M","0.60%"
"04-06-2014","203.22","204.63","206.45","202.82","2.86M","-0.93%"
"05-06-2014","200.42","202.00","202.89","199.31","7.67M","-1.38%"
"06-06-2014","202.86","202.30","204.29","199.31","10.57M","1.22%"
"09-06-2014","203.90","204.51","206.53","202.79","9.34M","0.52%"
"10-06-2014","203.20","204.32","204.93","201.55","5.00M","-0.34%"
"11-06-2014","204.16","203.29","206.49","201.55","7.74M","0.47%"
"12-06-2014","208.98","205.16","210.25","202.26","12.73M","2.36%"
"13-06-2014","207.87","210.01","212.99","206.94","12.21M","-0.53%"
"16-06-2014","208.76","206.77","209.71","206.60","5.31M","0.43%"
"17-06-2014","210.64","208.02","211.20","205.87","6.99M","0.90%"
"18-06-2014","207.73","210.78","211.85","206.21","5.37M","-1.38%"
"19-06-2014","205.47","208.29","209.00","204.58","4.72M","-1.09%"
"20-06-2014","204.52","205.53","206.96","203.88","2.97M","-0.46%"
"23-06-2014","204.40","205.03","205.67","202.87","5.84M","-0.06%"
"24-06-2014","206.28","205.37","207.21","205.28","5.07M","0.92%"
"25-06-2014","205.06","206.28","207.32","204.78","6.33M","-0.59%"
"26-06-2014","202.15","204.04","205.68","201.21","21.81M","-1.42%"
"27-06-2014","203.09","203.50","204.53","202.54","5.14M","0.47%"
"30-06-2014","204.42","204.01","207.20","204.01","6.18M","0.66%"
"01-07-2014","204.86","204.78","206.02","202.79","7.64M","0.21%"
"02-07-2014","208.99","206.72","209.51","205.41","7.63M","2.02%"
"03-07-2014","208.22","209.26","210.33","206.86","6.06M","-0.37%"
"04-07-2014","213.16","208.22","213.73","207.79","5.63M","2.37%"
"07-07-2014","209.13","213.97","214.16","207.98","8.13M","-1.89%"
"08-07-2014","206.34","210.01","211.09","204.04","6.73M","-1.33%"
"09-07-2014","206.60","206.03","207.73","203.54","5.80M","0.13%"
"10-07-2014","204.87","206.60","211.00","202.11","9.86M","-0.84%"
"11-07-2014","202.00","204.31","206.89","201.25","9.20M","-1.40%"
"14-07-2014","203.40","202.79","204.04","200.84","4.92M","0.70%"
"15-07-2014","205.73","204.22","206.23","203.17","6.09M","1.14%"
"16-07-2014","207.96","206.40","208.64","203.51","9.59M","1.08%"
"17-07-2014","206.97","208.69","208.76","206.40","5.04M","-0.47%"
"18-07-2014","207.13","206.25","208.22","204.53","7.29M","0.08%"
"21-07-2014","205.89","209.44","210.74","205.34","9.81M","-0.60%"
"22-07-2014","208.98","206.50","209.67","205.78","6.97M","1.50%"
"23-07-2014","208.09","209.78","210.26","207.77","7.85M","-0.42%"
"24-07-2014","209.57","208.02","210.01","207.27","4.28M","0.71%"
"25-07-2014","207.89","209.26","211.45","207.56","10.67M","-0.80%"
"28-07-2014","206.41","208.64","208.96","206.03","3.88M","-0.71%"
"30-07-2014","208.71","206.77","209.49","205.74","4.69M","1.12%"
"31-07-2014","207.52","208.49","208.99","206.16","11.90M","-0.57%"
"01-08-2014","202.90","205.54","205.98","202.05","6.83M","-2.22%"
"04-08-2014","202.30","203.79","204.71","200.83","7.36M","-0.30%"
"05-08-2014","204.09","203.29","204.78","201.52","6.08M","0.89%"
