"Date","Price","Open","High","Low","Vol.","Change %"
"04-07-2014","305.00","310.50","310.70","304.00","3.48M","-1.80%"
"07-07-2014","307.65","306.00","310.40","304.60","6.10M","0.87%"
"08-07-2014","296.30","310.40","310.60","291.20","12.58M","-3.69%"
"09-07-2014","294.40","296.00","296.30","288.30","11.31M","-0.64%"
"10-07-2014","294.40","295.30","304.65","282.25","5.49M","0.00%"
"11-07-2014","292.45","294.25","295.20","284.90","13.54M","-0.66%"
"14-07-2014","289.05","293.95","293.95","283.30","14.54M","-1.16%"
"15-07-2014","288.50","289.80","290.50","280.80","6.28M","-0.19%"
"16-07-2014","296.75","288.45","299.55","283.00","6.04M","2.86%"
"17-07-2014","302.20","298.05","303.50","296.05","9.05M","1.84%"
"18-07-2014","298.80","299.95","302.20","296.60","3.63M","-1.13%"
"21-07-2014","295.05","299.00","301.35","293.05","2.68M","-1.26%"
"22-07-2014","297.25","296.00","299.60","292.90","3.55M","0.75%"
"23-07-2014","295.60","298.20","299.40","294.10","3.05M","-0.56%"
"24-07-2014","298.15","295.20","302.65","291.65","4.74M","0.86%"
"25-07-2014","292.30","298.00","298.25","287.80","3.59M","-1.96%"
"28-07-2014","290.15","292.15","294.20","287.15","2.43M","-0.74%"
"30-07-2014","291.95","284.80","293.95","277.50","6.75M","0.62%"
"31-07-2014","290.25","293.45","298.35","289.30","8.77M","-0.58%"
"01-08-2014","281.90","287.40","289.10","280.30","7.14M","-2.88%"
"04-08-2014","289.55","280.35","292.10","280.35","3.75M","2.71%"
"05-08-2014","294.90","291.90","295.75","285.90","3.77M","1.85%"
"06-08-2014","288.55","292.50","295.65","287.00","3.77M","-2.15%"
"07-08-2014","284.65","288.90","290.45","283.40","5.59M","-1.35%"
"08-08-2014","267.80","281.55","281.80","267.00","8.82M","-5.92%"
"11-08-2014","275.40","271.60","277.20","270.20","8.67M","2.84%"
"12-08-2014","278.35","278.70","279.60","273.30","3.03M","1.07%"
"13-08-2014","281.55","276.00","283.30","275.75","6.05M","1.15%"
"14-08-2014","289.50","279.40","291.75","279.25","5.28M","2.82%"
"18-08-2014","293.20","287.95","294.80","286.80","3.72M","1.28%"
"19-08-2014","296.85","299.00","305.50","295.35","7.76M","1.24%"
"20-08-2014","295.00","296.00","299.35","294.20","3.07M","-0.62%"
"21-08-2014","289.85","291.00","293.45","288.70","3.36M","-1.75%"
"22-08-2014","291.70","289.25","296.35","289.10","3.42M","0.64%"
"25-08-2014","280.05","290.80","293.30","278.60","3.64M","-3.99%"
"26-08-2014","280.90","275.00","283.20","273.00","5.22M","0.30%"
"27-08-2014","276.40","281.20","283.45","275.00","2.59M","-1.60%"
"28-08-2014","277.15","274.55","281.70","274.55","7.90M","0.27%"
"01-09-2014","283.25","278.90","285.00","272.65","4.89M","2.20%"
"02-09-2014","277.80","282.30","284.05","276.70","4.32M","-1.92%"
"03-09-2014","280.15","277.00","283.30","277.00","4.74M","0.85%"
"04-09-2014","278.45","278.10","281.45","276.00","2.25M","-0.61%"
"05-09-2014","281.50","276.15","282.80","276.15","3.77M","1.10%"
"08-09-2014","284.45","284.30","285.80","281.70","3.10M","1.05%"
"09-09-2014","281.80","283.00","283.85","279.25","3.61M","-0.93%"
"10-09-2014","286.20","279.00","287.15","277.95","3.27M","1.56%"
"11-09-2014","286.65","287.25","289.90","283.80","4.42M","0.16%"
"12-09-2014","290.30","285.20","291.35","285.20","5.85M","1.27%"
"15-09-2014","286.50","288.00","289.40","285.50","3.82M","-1.31%"
"16-09-2014","285.05","283.85","286.90","280.10","8.18M","-0.51%"
"17-09-2014","284.60","288.60","289.15","274.50","5.72M","-0.16%"
"18-09-2014","284.80","282.50","288.35","282.05","4.22M","0.07%"
"19-09-2014","284.80","285.00","286.80","282.40","10.09M","0.00%"
"22-09-2014","283.25","281.95","284.40","277.05","6.54M","-0.54%"
"23-09-2014","280.35","282.70","284.40","278.80","6.30M","-1.02%"
"24-09-2014","281.60","279.20","286.00","276.35","4.47M","0.45%"
"25-09-2014","273.20","283.10","283.75","270.00","12.15M","-2.98%"
"26-09-2014","274.95","271.40","276.10","267.10","3.17M","0.64%"
"29-09-2014","270.65","274.50","274.80","269.20","1.85M","-1.56%"
"30-09-2014","272.50","269.10","279.20","266.15","4.66M","0.68%"
"01-10-2014","270.90","273.30","276.40","269.75","3.74M","-0.59%"
"07-10-2014","258.50","269.80","271.85","257.45","6.61M","-4.58%"
"08-10-2014","257.20","255.00","259.05","249.60","5.96M","-0.50%"
"09-10-2014","261.85","259.00","262.85","257.60","3.51M","1.81%"
"10-10-2014","249.75","259.30","259.30","248.10","7.34M","-4.62%"
"13-10-2014","249.85","247.30","251.40","244.55","4.04M","0.04%"
"14-10-2014","249.55","251.05","254.25","218.90","22.76M","-0.12%"
"16-10-2014","239.15","245.05","248.80","237.20","5.97M","-4.17%"
"17-10-2014","232.65","238.50","238.95","231.20","5.71M","-2.72%"
"20-10-2014","237.65","236.00","241.25","232.75","2.87M","2.15%"
"21-10-2014","248.50","241.90","253.50","241.90","5.70M","4.57%"
"22-10-2014","249.75","251.60","252.95","246.60","2.98M","0.50%"
"23-10-2014","248.85","250.60","250.85","245.70","267.26K","-0.36%"
"27-10-2014","249.05","250.60","254.15","247.10","3.35M","0.08%"
"28-10-2014","250.65","247.55","252.45","247.30","2.67M","0.64%"
"29-10-2014","255.35","251.45","256.75","247.40","7.32M","1.88%"
"30-10-2014","253.05","254.80","256.50","251.75","6.86M","-0.90%"
"31-10-2014","255.95","252.50","259.25","251.75","4.95M","1.15%"
"03-11-2014","262.25","256.80","263.45","255.70","4.00M","2.46%"
"05-11-2014","250.85","263.90","263.90","250.00","4.70M","-4.35%"
"07-11-2014","246.10","250.05","253.50","244.55","4.70M","-1.89%"
"10-11-2014","245.15","248.80","250.30","242.55","2.51M","-0.39%"
"11-11-2014","244.25","245.20","249.65","243.20","3.35M","-0.37%"
"12-11-2014","241.75","244.10","247.90","239.00","2.99M","-1.02%"
"13-11-2014","235.50","244.00","244.70","234.25","3.46M","-2.59%"
"14-11-2014","240.15","235.80","242.70","232.70","4.14M","1.97%"
"17-11-2014","237.95","238.70","240.85","235.60","2.56M","-0.92%"
"18-11-2014","246.95","236.45","248.75","236.45","5.62M","3.78%"
"19-11-2014","240.40","248.20","251.35","239.10","4.70M","-2.65%"
"20-11-2014","234.60","239.90","241.00","232.50","3.61M","-2.41%"
"21-11-2014","237.60","235.80","239.40","233.05","2.87M","1.28%"
"24-11-2014","235.80","241.00","245.25","234.60","6.21M","-0.76%"
"25-11-2014","235.40","237.00","237.95","229.85","4.10M","-0.17%"
"26-11-2014","241.10","236.10","242.45","235.00","2.57M","2.42%"
"27-11-2014","238.35","242.45","242.75","237.20","3.85M","-1.14%"
"28-11-2014","231.35","236.40","240.60","230.15","5.89M","-2.94%"
"01-12-2014","226.70","229.00","233.35","225.05","5.48M","-2.01%"
"02-12-2014","229.05","225.20","232.60","225.20","3.73M","1.04%"
"03-12-2014","230.85","229.50","236.30","226.40","5.67M","0.79%"
"04-12-2014","237.15","232.95","240.70","230.50","6.36M","2.73%"
"05-12-2014","241.75","238.85","245.95","237.90","7.16M","1.94%"
"08-12-2014","232.75","238.00","241.40","232.05","3.62M","-3.72%"
"09-12-2014","220.75","230.40","233.20","218.80","5.28M","-5.16%"
"10-12-2014","222.60","220.00","225.80","219.10","3.23M","0.84%"
"11-12-2014","221.95","223.00","224.90","218.10","3.34M","-0.29%"
"12-12-2014","215.90","221.45","222.60","214.55","5.19M","-2.73%"
